label,x,y,z,buried,remote
1 1,8.0,4.0,-13.0,1,False
1 2,8.0,4.0,-12.267,1,False
1 3,8.0,4.0,-11.533,1,False
1 4,8.0,4.0,-10.8,1,False
1 5,8.0,4.0,-10.067,1,False
1 6,8.0,4.0,-9.333,1,False
1 7,8.0,4.0,-8.6,1,False
1 8,8.0,4.0,-7.867,1,False
1 9,8.0,4.0,-7.133,1,False
1 10,8.0,4.0,-6.4,1,False
1 11,8.0,4.0,-5.667,1,False
1 12,8.0,4.0,-4.933,1,False
1 13,8.0,4.0,-4.2,1,False
1 14,8.0,4.0,-3.467,1,False
1 15,8.0,4.0,-2.733,1,False
1 16,8.0,4.0,-2.0,1,False
1 17,7.0,4.0,0.0,0,False
1 18,5.0,4.0,0.0,0,False
1 19,0.0,4.0,-13.0,1,False
1 20,0.0,4.0,-12.267,1,False
1 21,0.0,4.0,-11.533,1,False
1 22,0.0,4.0,-10.8,1,False
1 23,0.0,4.0,-10.067,1,False
1 24,0.0,4.0,-9.333,1,False
1 25,0.0,4.0,-8.6,1,False
1 26,0.0,4.0,-7.867,1,False
1 27,0.0,4.0,-7.133,1,False
1 28,0.0,4.0,-6.4,1,False
1 29,0.0,4.0,-5.667,1,False
1 30,0.0,4.0,-4.933,1,False
1 31,0.0,4.0,-4.2,1,False
1 32,0.0,4.0,-3.467,1,False
1 33,0.0,4.0,-2.733,1,False
1 34,0.0,4.0,-2.0,1,False
1 35,1.0,4.0,0.0,0,False
1 36,3.0,4.0,0.0,0,False
1 37,3.0,0.0,-13.0,1,False
1 38,3.0,0.0,-12.267,1,False
1 39,3.0,0.0,-11.533,1,False
1 40,3.0,0.0,-10.8,1,False
1 41,3.0,0.0,-10.067,1,False
1 42,3.0,0.0,-9.333,1,False
1 43,3.0,0.0,-8.6,1,False
1 44,3.0,0.0,-7.867,1,False
1 45,3.0,0.0,-7.133,1,False
1 46,3.0,0.0,-6.4,1,False
1 47,3.0,0.0,-5.667,1,False
1 48,3.0,0.0,-4.933,1,False
1 49,3.0,0.0,-4.2,1,False
1 50,3.0,0.0,-3.467,1,False
1 51,3.0,0.0,-2.733,1,False
1 52,3.0,0.0,-2.0,1,False
1 53,3.0,0.0,0.0,0,False
1 54,3.0,2.0,0.0,0,False
1 55,3.0,10.0,-13.0,1,False
1 56,3.0,10.0,-12.267,1,False
1 57,3.0,10.0,-11.533,1,False
1 58,3.0,10.0,-10.8,1,False
1 59,3.0,10.0,-10.067,1,False
1 60,3.0,10.0,-9.333,1,False
1 61,3.0,10.0,-8.6,1,False
1 62,3.0,10.0,-7.867,1,False
1 63,3.0,10.0,-7.133,1,False
1 64,3.0,10.0,-6.4,1,False
1 65,3.0,10.0,-5.667,1,False
1 66,3.0,10.0,-4.933,1,False
1 67,3.0,10.0,-4.2,1,False
1 68,3.0,10.0,-3.467,1,False
1 69,3.0,10.0,-2.733,1,False
1 70,3.0,10.0,-2.0,1,False
1 71,3.0,8.0,0.0,0,False
1 72,3.0,6.0,0.0,0,False
