label,x,y,z
1 1,0,-5,0
1 2,2,-5,0
1 3,4,-5,0
1 4,6,-5,0
1 5,8,-5,0
1 6,10,-5,0
1 7,12,-5,0
1 8,14,-5,0
1 9,16,-5,0
1 10,18,-5,0
1 11,20,-5,0
1 12,22,-5,0
1 13,24,-5,0
1 14,26,-5,0
1 15,28,-5,0
1 16,30,-5,0
1 17,32,-5,0
1 18,34,-5,0
1 19,36,-5,0
1 20,38,-5,0
1 21,40,-5,0
1 22,42,-5,0
1 23,44,-5,0
1 24,46,-5,0
1 25,48,-5,0
2 1,0,0,0
2 2,2,0,0
2 3,4,0,0
2 4,6,0,0
2 5,8,0,0
2 6,10,0,0
2 7,12,0,0
2 8,14,0,0
2 9,16,0,0
2 10,18,0,0
2 11,20,0,0
2 12,22,0,0
2 13,24,0,0
2 14,26,0,0
2 15,28,0,0
2 16,30,0,0
2 17,32,0,0
2 18,34,0,0
2 19,36,0,0
2 20,38,0,0
2 21,40,0,0
2 22,42,0,0
2 23,44,0,0
2 24,46,0,0
2 25,48,0,0
3 1,0,5,0
3 2,2,5,0
3 3,4,5,0
3 4,6,5,0
3 5,8,5,0
3 6,10,5,0
3 7,12,5,0
3 8,14,5,0
3 9,16,5,0
3 10,18,5,0
3 11,20,5,0
3 12,22,5,0
3 13,24,5,0
3 14,26,5,0
3 15,28,5,0
3 16,30,5,0
3 17,32,5,0
3 18,34,5,0
3 19,36,5,0
3 20,38,5,0
3 21,40,5,0
3 22,42,5,0
3 23,44,5,0
3 24,46,5,0
3 25,48,5,0
