x,y,z
0,0,742.053
138.058,2.858,744.293
273.6,11.551,746.304
331.029,45.114,745.1043333
309.338,47.883,743.9046667
262.302,57.283,742.705
266.268,70.768,744.019
200.746,74.706,742.484
339.032,75.7525,745.333
174.817,81.141,746.647
132.619,89.813,745.9656667
135.489,100.51,741.824
273.444,101.82,745.2843333
210.587,103.047,742.9915
69.917,103.484,744.603
347.034,106.391,744.159
47.205,107.473,745.3265
9.224,120.038,746.494
10.812,130.233,743.9286667
141.442,130.8,746.628
280.619,132.872,741.3633333
78.259,134.2183,738.798
218.512,134.7837,742.853
356.165,136.487,738.7926667
18.817,160.968,743.032
148.673,162.1503,735.995
288.891,163.2657,738.7873333
86.601,164.9525,743.011
226.438,166.5203,744.222
365.296,166.583,738.782
26.821,191.703,740.856
155.903,193.5007,745.433
297.164,193.6593,746.644
373.536,195.6235,746.3715
94.942,195.6868,744.316
234.363,198.257,746.099
34.826,222.438,745.714
305.436,224.053,741.167
381.776,224.664,745.329
163.134,224.851,748.545
103.284,226.421,744.944
241.772,229.1235,741.79
314.402,253.0095,745.054
42.123,254.061,740.532
170.781,256.5185,745.3963333
110.703,258.4167,745.7386667
388.972,258.564,746.081
249.182,259.99,743.5705
323.367,281.966,741.06
49.419,285.684,740.1905
178.428,288.186,744.431
396.609,289.6583,739.321
257.242,290.082,743.921
118.122,290.4123,740.0135
331.18,312.5905,744.4685
56.716,317.307,744.012
186.376,317.5673,740.706
265.301,320.174,745.016
404.247,320.7527,739.499
125.541,322.408,743.4253333
338.993,343.215,741.8346667
194.323,346.9487,736.996
64.09,348.7977,740.244
272.174,351.72,745.787
411.884,351.847,738.7785
133.333,352.275,737.313
348.026,373.541,744.431
202.271,376.33,736.576
71.465,380.2883,735.839
419.139,381.9137,745.513
141.126,382.142,746.595
279.047,383.266,734.936
305.282,384.206,743.325
280.722,391.735,740.055
211.868,409.111,735.398
78.839,411.779,742.603
426.395,411.9803,745.151
148.918,412.009,740.206
191.972,413.056,739.258
149.843,424.56,738.31
433.65,442.047,737.362
366.096,463.077,737.2046667
115.293,498.915,737.0473333
202.703,520.998,736.89
99999,0,0
